edge_id,width,density,average_speed
1047614392#0,3.5,0.0,0.0
1047614392#1,3.5,0.0,0.0
1047614393,3.5,0.0,0.0
1059393591,3.5,0.0,0.0
1068289536,3.5,0.0,0.0
1079647854#0,3.5,0.0,0.0
1079647854#1,3.5,0.0,0.0
1079647856#0,3.5,0.0,0.0
1079647856#1,3.5,0.0,0.0
1080868202,3.5,0.0,0.0
1081329526,3.5,0.0,0.0
1081329528#0,3.5,0.0,0.0
1081329528#1,3.5,0.0,0.0
1081329529,3.5,0.0,0.0
1081333389,3.5,0.0,0.0
1081333390,3.5,0.0,0.0
1081333391,3.5,0.0,0.0
1081333392,3.5,0.0,0.0
1081647125,3.5,0.0,0.0
1081647126,3.5,0.0,0.0
1081647730,3.5,0.0,0.0
1081647731#0,3.5,0.0,0.0
1081647731#1,3.5,0.0,0.0
1081648320,3.5,0.0,0.0
1081648321,3.5,0.0,0.0
1081648322,3.5,0.0,0.0
1081648323,3.5,0.0,0.0
1081648324#0,3.5,0.0,0.0
1081648324#1,3.5,0.0,0.0
1081648325,3.5,0.0,0.0
1082138323,3.5,0.0,0.0
1082138324,3.5,0.0,0.0
1099721720,3.5,0.0,0.0
1104200778#0,3.5,0.0,0.0
1104200778#1,3.5,0.0,0.0
1107323962,3.5,0.0,0.0
1126520146,3.5,0.0,0.0
1126551264,3.5,0.0,0.0
1126551277#0,3.5,0.0,0.0
1126551277#1,3.5,0.0,0.0
1127747291,3.5,0.0,0.0
1128053155#0,3.5,0.0,0.0
1128053155#1,3.5,0.0,0.0
1128053155#2,3.5,0.0,0.0
1132475305#0,3.5,0.0,0.0
1132475305#1,3.5,0.0,0.0
1132475305#2,3.5,0.0,0.0
1132475306#0,3.5,0.0,0.0
1132475306#1,3.5,0.0,0.0
1132476293#0,3.5,0.0,0.0
1132476293#1,3.5,0.0,0.0
1132476293#2,3.5,0.0,0.0
1132476293#3,3.5,0.0,0.0
1132476293#4,3.5,0.0,0.0
1138010039,3.5,0.0,0.0
1147042694,3.5,0.0,0.0
1156123812#0,3.5,0.0,0.0
1156123812#1,3.5,0.0,0.0
1156123813#0,3.5,0.0,0.0
1156123813#1,3.5,0.0,0.0
1156123813#2,3.5,0.0,0.0
1157218234#0,3.5,0.0,0.0
1157218234#1,3.5,0.0,0.0
1157218234#2,3.5,0.0,0.0
1157218234#3,3.5,0.0,0.0
1157218234#4,3.5,0.0,0.0
1157218235,3.5,0.0,0.0
1157218287#0,3.5,0.0,0.0
1157218287#1,3.5,0.0,0.0
1157218287#2,3.5,0.0,0.0
